
Processing complete. Results:
Total files in images directory: 0
Processed files: 0
Failed to process files: 0
Processed image: amanita citrina_2012-09-22 13-29-01_34.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2012-09-22 13-29-10_35.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2012-09-22 13-29-25_36.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2012-09-22 13-29-32_37.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2020-09-02 14-03-44_0.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2020-09-02 14-03-51_1.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2020-09-02 14-04-10_2.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2020-09-02 14-04-15_3.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2020-09-02 14-04-18_4.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2020-09-02 14-04-20_5.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2021-09-04 14-59-37_11.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2021-09-04 14-59-43_12.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2021-09-04 14-59-48_13.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2021-09-04 15-00-05_14.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2021-09-04 15-00-16_15.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2021-09-04 15-00-25_16.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2021-09-04 15-00-55_17.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2021-09-04 15-07-18_18.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2021-09-04 15-07-37_19.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2021-09-04 15-07-47_20.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2021-09-04 15-08-17_21.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2021-09-04 15-08-33_22.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2021-09-04 15-08-44_23.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2021-09-04 15-08-50_24.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2021-09-04 15-09-38_25.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2021-09-04 15-09-48_26.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2021-09-04 15-09-53_27.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2021-09-04 15-10-00_28.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2021-09-04 15-10-06_29.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2022-09-18 16-42-58_6.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2022-09-18 16-43-03_7.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2022-09-18 16-43-15_8.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2022-09-18 16-43-32_9.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2022-09-18 16-43-36_10.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2022-09-20 15-43-53_30.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2022-09-20 15-44-01_31.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2022-09-20 15-44-03_32.jpg, Label: amanita citrina, Id: 0
Processed image: amanita citrina_2022-09-20 15-44-20_33.jpg, Label: amanita citrina, Id: 0
Processed image: amanita crocea_2012-09-16 10-40-54_5.jpg, Label: amanita crocea, Id: 1
Processed image: amanita crocea_2012-09-16 10-41-02_6.jpg, Label: amanita crocea, Id: 1
Processed image: amanita crocea_2020-09-02 13-35-59_1.jpg, Label: amanita crocea, Id: 1
Processed image: amanita crocea_2020-09-02 13-36-08_0.jpg, Label: amanita crocea, Id: 1
Processed image: amanita crocea_2020-09-02 13-36-22_2.jpg, Label: amanita crocea, Id: 1
Processed image: amanita crocea_2020-09-02 13-36-46_3.jpg, Label: amanita crocea, Id: 1
Processed image: amanita crocea_2020-09-02 13-37-00_4.jpg, Label: amanita crocea, Id: 1
Processed image: amanita excelsa_2011-09-03 15-44-16_6.jpg, Label: amanita excelsa, Id: 2
Processed image: amanita excelsa_2011-09-03 15-44-23_7.jpg, Label: amanita excelsa, Id: 2
Processed image: amanita excelsa_2011-09-03 15-45-08_8.jpg, Label: amanita excelsa, Id: 2
Processed image: amanita excelsa_2011-09-03 15-45-19_9.jpg, Label: amanita excelsa, Id: 2
Processed image: amanita excelsa_2017-09-02 11-23-34_0.jpg, Label: amanita excelsa, Id: 2
Processed image: amanita excelsa_2017-09-02 11-24-51_1.jpg, Label: amanita excelsa, Id: 2
Processed image: amanita excelsa_2017-09-02 11-24-58_2.jpg, Label: amanita excelsa, Id: 2
Processed image: amanita excelsa_2017-09-02 11-25-04_3.jpg, Label: amanita excelsa, Id: 2
Processed image: amanita excelsa_2017-09-02 11-25-10_4.jpg, Label: amanita excelsa, Id: 2
Processed image: amanita excelsa_2017-09-02 11-25-21_5.jpg, Label: amanita excelsa, Id: 2
Processed image: amanita fulva_2016-08-27 19-10-04_1.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2016-08-27 19-11-45_2.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2016-08-27 19-11-56_3.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2016-08-27 19-12-59_4.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2016-08-27 19-13-10_5.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2016-08-27 19-13-20_6.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2021-09-04 15-14-06_20.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2021-09-04 15-14-11_21.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2021-09-04 15-14-16_22.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2021-09-04 15-15-06_23.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2021-09-04 15-15-12_24.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2022-08-07 16-16-37_7.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2022-08-07 16-16-42_8.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2022-08-07 16-16-57_9.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2022-08-07 16-16-59_10.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2022-08-07 16-17-13_11.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2022-08-07 16-17-24_0.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2022-08-07 16-17-28_12.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2022-08-07 16-17-50_13.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2022-08-07 16-17-55_14.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2022-08-07 16-32-40_15.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2022-08-07 16-32-44_16.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2022-08-07 16-32-47_17.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2022-08-07 16-32-50_18.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2022-08-07 16-33-00_19.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2022-09-20 10-56-32_25.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2022-09-20 10-56-39_26.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2022-09-20 10-56-43_27.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2022-09-20 10-56-55_28.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2022-09-20 10-56-56_29.jpg, Label: amanita fulva, Id: 3
Processed image: amanita fulva_2022-09-20 10-57-06_30.jpg, Label: amanita fulva, Id: 3
Processed image: amanita gemmata_2016-07-23 17-15-40_0.jpg, Label: amanita gemmata, Id: 4
Processed image: amanita gemmata_2016-07-23 17-15-59_1.jpg, Label: amanita gemmata, Id: 4
Processed image: amanita gemmata_2016-07-23 17-16-35_2.jpg, Label: amanita gemmata, Id: 4
Processed image: amanita gemmata_2016-07-23 17-16-52_3.jpg, Label: amanita gemmata, Id: 4
Processed image: amanita gemmata_2016-07-23 17-17-12_4.jpg, Label: amanita gemmata, Id: 4
Processed image: amanita muscaria_154.jpg, Label: amanita muscaria, Id: 5
Processed image: amanita muscaria_157.jpg, Label: amanita muscaria, Id: 5
Processed image: amanita muscaria_158.jpg, Label: amanita muscaria, Id: 5
Processed image: amanita muscaria_159.jpg, Label: amanita muscaria, Id: 5
Processed image: amanita muscaria_160.jpg, Label: amanita muscaria, Id: 5
Processed image: amanita muscaria_197.jpg, Label: amanita muscaria, Id: 5
Processed image: amanita muscaria_2007-09-22 21-10-20_149.jpg, Label: amanita muscaria, Id: 5
Processed image: amanita muscaria_2007-09-22 21-10-31_150.jpg, Label: amanita muscaria, Id: 5
Processed image: amanita muscaria_2007-09-22 21-10-37_151.jpg, Label: amanita muscaria, Id: 5
Processed image: amanita muscaria_2007-09-22 21-10-37_152.jpg, Label: amanita muscaria, Id: 5
Processed image: amanita muscaria_2007-09-22 21-10-42_153.jpg, Label: amanita muscaria, Id: 5
Processed image: amanita muscaria_2007-09-22 22-12-58_155.jpg, Label: amanita muscaria, Id: 5
Processed image: amanita muscaria_2007-09-22 22-13-05_156.jpg, Label: amanita muscaria, Id: 5
Processed image: amanita muscaria_2009-09-19 11-39-39_161.jpg, Label: amanita muscaria, Id: 5
Processed image: amanita muscaria_2009-09-25 11-16-26_162.jpg, Label: amanita muscaria, Id: 5
Processed image: amanita muscaria_2009-09-25 11-26-50_163.jpg, Label: amanita muscaria, Id: 5
Processed image: amanita muscaria_2009-09-25 12-40-20_164.jpg, Label: amanita muscaria, Id: 5
Processed image: amanita muscaria_2009-09-25 12-40-29_165.jpg, Label: amanita muscaria, Id: 5
