Processed image: agaricus abruptibulbus_2015-08-20 18-44-39_0.jpg, Label: agaricus abruptibulbus, Id: 0
Processed image: agaricus abruptibulbus_2015-08-20 18-45-00_1.jpg, Label: agaricus abruptibulbus, Id: 0
Processed image: agaricus abruptibulbus_2015-08-20 18-45-48_2.jpg, Label: agaricus abruptibulbus, Id: 0
Processed image: agaricus abruptibulbus_2015-08-20 18-46-13_3.jpg, Label: agaricus abruptibulbus, Id: 0
Processed image: agaricus abruptibulbus_2015-08-20 18-46-36_4.jpg, Label: agaricus abruptibulbus, Id: 0
Processed image: agaricus abruptibulbus_2015-08-20 18-47-32_5.jpg, Label: agaricus abruptibulbus, Id: 0
Processed image: agaricus abruptibulbus_2015-08-20 18-47-42_6.jpg, Label: agaricus abruptibulbus, Id: 0
Processed image: agaricus abruptibulbus_2015-08-20 18-47-47_7.jpg, Label: agaricus abruptibulbus, Id: 0
Processed image: agaricus abruptibulbus_2015-08-20 18-48-25_8.jpg, Label: agaricus abruptibulbus, Id: 0
Processed image: agaricus abruptibulbus_2015-08-20 18-48-53_9.jpg, Label: agaricus abruptibulbus, Id: 0
Processed image: agaricus abruptibulbus_2015-08-20 18-49-07_10.jpg, Label: agaricus abruptibulbus, Id: 0
Processed image: agaricus abruptibulbus_2015-08-20 18-49-22_11.jpg, Label: agaricus abruptibulbus, Id: 0
Processed image: agaricus abruptibulbus_2015-08-20 18-49-22_12.jpg, Label: agaricus abruptibulbus, Id: 0
Processed image: agaricus abruptibulbus_2015-08-20 18-49-27_13.jpg, Label: agaricus abruptibulbus, Id: 0
Processed image: agaricus abruptibulbus_2015-08-20 18-49-27_14.jpg, Label: agaricus abruptibulbus, Id: 0
Processed image: agaricus abruptibulbus_2015-08-20 18-49-36_15.jpg, Label: agaricus abruptibulbus, Id: 0
Processed image: agaricus abruptibulbus_2015-08-20 18-50-06_16.jpg, Label: agaricus abruptibulbus, Id: 0
Processed image: agaricus abruptibulbus_2015-08-20 18-50-11_17.jpg, Label: agaricus abruptibulbus, Id: 0
Processed image: agaricus abruptibulbus_2015-08-20 18-50-15_18.jpg, Label: agaricus abruptibulbus, Id: 0
Processed image: agaricus abruptibulbus_2015-08-20 18-50-27_19.jpg, Label: agaricus abruptibulbus, Id: 0
Processed image: agaricus arvensis_2016-08-27 18-14-16_0.jpg, Label: agaricus arvensis, Id: 1
Processed image: agaricus arvensis_2016-08-27 18-14-27_1.jpg, Label: agaricus arvensis, Id: 1
Processed image: agaricus arvensis_2016-08-27 18-15-35_2.jpg, Label: agaricus arvensis, Id: 1
Processed image: agaricus arvensis_2016-08-27 18-15-51_3.jpg, Label: agaricus arvensis, Id: 1
Processed image: agaricus arvensis_2016-08-27 18-16-34_4.jpg, Label: agaricus arvensis, Id: 1
Processed image: agaricus arvensis_2016-08-27 18-16-53_5.jpg, Label: agaricus arvensis, Id: 1
Processed image: agaricus arvensis_2016-09-30 17-24-46_10.jpg, Label: agaricus arvensis, Id: 1
Processed image: agaricus arvensis_2016-09-30 17-25-02_11.jpg, Label: agaricus arvensis, Id: 1
Processed image: agaricus arvensis_2016-09-30 17-25-07_12.jpg, Label: agaricus arvensis, Id: 1
Processed image: agaricus arvensis_2016-09-30 17-25-11_13.jpg, Label: agaricus arvensis, Id: 1
Processed image: agaricus arvensis_2016-09-30 17-25-14_14.jpg, Label: agaricus arvensis, Id: 1
Processed image: agaricus arvensis_2022-06-10 20-01-42_6.jpg, Label: agaricus arvensis, Id: 1
